2024-11-27 10:54:05,753 INFO o.s.b.StartupInfoLogger [main] Starting NanoCubeTestDataGeneratorApplication using Java 21.0.2 on NOLI125045 with PID 16692 (C:\sandbox\nanoCubeTestDataGenerator\target\classes started by ronend in C:\sandbox\nanoCubeTestDataGenerator)
2024-11-27 10:54:05,762 INFO o.s.b.SpringApplication [main] No active profile set, falling back to 1 default profile: "default"
2024-11-27 10:54:06,851 INFO o.s.d.r.c.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-27 10:54:06,881 INFO o.s.d.r.c.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 15 ms. Found 0 JPA repository interfaces.
2024-11-27 10:54:07,727 INFO o.s.b.w.e.t.TomcatWebServer [main] Tomcat initialized with port(s): 8080 (http)
2024-11-27 10:54:07,738 INFO o.a.j.l.DirectJDKLog [main] Initializing ProtocolHandler ["http-nio-8080"]
2024-11-27 10:54:07,743 INFO o.a.j.l.DirectJDKLog [main] Starting service [Tomcat]
2024-11-27 10:54:07,743 INFO o.a.j.l.DirectJDKLog [main] Starting Servlet engine: [Apache Tomcat/9.0.83]
2024-11-27 10:54:07,922 INFO o.a.j.l.DirectJDKLog [main] Initializing Spring embedded WebApplicationContext
2024-11-27 10:54:07,923 INFO o.s.b.w.s.c.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 2060 ms
2024-11-27 10:54:07,969 INFO c.z.h.HikariDataSource [main] HikariPool-1 - Starting...
2024-11-27 10:54:08,338 INFO c.z.h.HikariDataSource [main] HikariPool-1 - Start completed.
2024-11-27 10:54:08,353 INFO o.s.b.a.h.H2ConsoleAutoConfiguration [main] H2 console available at '/h2-console'. Database available at 'jdbc:h2:./database/autogen'
2024-11-27 10:54:08,613 INFO o.h.j.i.u.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-27 10:54:08,718 INFO o.h.Version [main] HHH000412: Hibernate ORM core version 5.6.15.Final
2024-11-27 10:54:08,989 INFO o.h.a.c.r.j.JavaReflectionManager [main] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-11-27 10:54:09,168 INFO o.h.d.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2024-11-27 10:54:09,502 INFO o.h.e.t.j.p.i.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-11-27 10:54:09,524 INFO o.s.o.j.AbstractEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-27 10:54:09,647 WARN o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-27 10:54:10,116 INFO o.a.j.l.DirectJDKLog [main] Starting ProtocolHandler ["http-nio-8080"]
2024-11-27 10:54:10,150 INFO o.s.b.w.e.t.TomcatWebServer [main] Tomcat started on port(s): 8080 (http) with context path ''
2024-11-27 10:54:10,165 INFO o.s.b.StartupInfoLogger [main] Started NanoCubeTestDataGeneratorApplication in 5.253 seconds (JVM running for 6.14)
2024-11-27 10:54:10,670 INFO c.c.a.t.a.GetMeterForMeteringPoint [scheduling-1] Initiating map meter to metering point.
2024-11-27 10:54:10,702 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-075 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,151 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-076 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,305 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-077 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,463 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-078 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,638 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-079 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,730 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-080 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,830 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-081 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,914 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-082 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,992 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-083 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:16,111 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-084 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:16,154 INFO c.c.a.t.a.GetMeterForMeteringPoint [scheduling-1] Map meter to metering point initiated for 10 metering points.
2024-11-27 10:54:16,157 INFO c.c.a.c.Controller [scheduling-1] Starting creation of Aidon hourly indexes until 2024-11-27T09:00:00+01:00.
2024-11-27 10:54:16,172 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087673044 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:16,466 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:16,466 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:16,513 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:16,513 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:16,563 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:16,564 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:16,611 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:16,613 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:16,679 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:16,679 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:16,724 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:16,725 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673044, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:16,727 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087673068 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:17,814 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:17,815 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:17,867 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:17,868 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:17,914 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:17,915 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:17,965 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:17,967 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:18,018 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,019 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,075 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,075 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673068, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,077 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087672924 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:18,294 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,295 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,340 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,341 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,387 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:18,387 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
